Name,Category,Dosage Form,Strength,Manufacturer,Indication,Classification
Cefnazole,Antidiabetic,Capsule,101 mg,AbbVie Inc.,Diabetes,Prescription
Dolomet,Antiviral,Syrup,621 mg,Novartis AG,Depression,Prescription
Acetocillin,Antiviral,Inhaler,431 mg,"Merck & Co., Inc.",Fungus,Prescription
Dextromet,Antipyretic,Ointment,921 mg,Bristol-Myers Squibb Company,Depression,Prescription
Ibuprocillin,Antiviral,Inhaler,215 mg,Johnson & Johnson,Virus,Over-the-Counter
Metomycin,Antifungal,Tablet,398 mg,Amgen Inc.,Virus,Over-the-Counter
Dolocillin,Antiviral,Inhaler,58 mg,Amgen Inc.,Fungus,Prescription
Clarivir,Antipyretic,Injection,995 mg,Bristol-Myers Squibb Company,Fever,Over-the-Counter
Dextrovir,Antifungal,Ointment,874 mg,Sanofi S.A.,Infection,Over-the-Counter
Cefvir,Antiviral,Injection,13 mg,Teva Pharmaceutical Industries Ltd.,Wound,Over-the-Counter
Dolovir,Antibiotic,Tablet,233 mg,AstraZeneca plc,Diabetes,Over-the-Counter
Ibuprophen,Antiviral,Inhaler,438 mg,Roche Holding AG,Diabetes,Prescription
Metomycin,Antifungal,Cream,860 mg,Sanofi S.A.,Pain,Prescription
Claricillin,Antidepressant,Tablet,970 mg,Biogen Inc.,Infection,Prescription
Dolovir,Antibiotic,Tablet,640 mg,Eli Lilly and Company,Pain,Over-the-Counter
Amoximycin,Antipyretic,Ointment,141 mg,Novo Nordisk A/S,Fever,Over-the-Counter
Clarinazole,Antifungal,Syrup,217 mg,Boehringer Ingelheim GmbH,Diabetes,Prescription
Dolovir,Antiseptic,Tablet,554 mg,"Merck & Co., Inc.",Pain,Over-the-Counter
Metonazole,Antibiotic,Tablet,754 mg,Novartis AG,Diabetes,Over-the-Counter
Metovir,Antidepressant,Cream,673 mg,Eli Lilly and Company,Infection,Prescription
Dextrophen,Antiviral,Syrup,669 mg,Bristol-Myers Squibb Company,Wound,Prescription
Metovir,Antipyretic,Drops,603 mg,CSL Limited,Infection,Prescription
Dolonazole,Antiviral,Drops,908 mg,AbbVie Inc.,Wound,Prescription
Clariphen,Antidiabetic,Inhaler,12 mg,Novartis AG,Infection,Prescription
Cefstatin,Antidepressant,Tablet,20 mg,GlaxoSmithKline plc,Fever,Prescription
Amoxiphen,Antidepressant,Ointment,520 mg,Pfizer Inc.,Infection,Prescription
Metovir,Antidepressant,Cream,940 mg,Eli Lilly and Company,Depression,Over-the-Counter
Metovir,Analgesic,Drops,598 mg,AbbVie Inc.,Infection,Prescription
Dextrophen,Antidiabetic,Ointment,51 mg,Takeda Pharmaceutical Company Limited,Pain,Over-the-Counter
Ibuprocillin,Antidepressant,Tablet,274 mg,Bayer AG,Virus,Prescription
Metocillin,Antidepressant,Ointment,416 mg,Amgen Inc.,Infection,Prescription
Clariphen,Antifungal,Syrup,104 mg,Bristol-Myers Squibb Company,Depression,Prescription
Amoxicillin,Antipyretic,Ointment,473 mg,Sanofi S.A.,Infection,Prescription
Cefnazole,Antibiotic,Ointment,181 mg,Bayer AG,Fungus,Prescription
Dextrovir,Antiseptic,Ointment,970 mg,Amgen Inc.,Pain,Over-the-Counter
Ibuproprofen,Antidiabetic,Syrup,196 mg,Takeda Pharmaceutical Company Limited,Wound,Over-the-Counter
Amoxicillin,Antifungal,Syrup,339 mg,Takeda Pharmaceutical Company Limited,Pain,Over-the-Counter
Dolonazole,Antiviral,Drops,617 mg,CSL Limited,Pain,Prescription
Acetophen,Analgesic,Ointment,462 mg,AbbVie Inc.,Virus,Prescription
Dextromycin,Antifungal,Ointment,273 mg,Roche Holding AG,Depression,Prescription
Cefmycin,Antibiotic,Syrup,782 mg,"Merck & Co., Inc.",Diabetes,Prescription
Ibuprovir,Antipyretic,Tablet,442 mg,"Gilead Sciences, Inc.",Fever,Prescription
Acetocillin,Antidepressant,Tablet,389 mg,Biogen Inc.,Diabetes,Prescription
Metophen,Antidepressant,Tablet,790 mg,Novartis AG,Fungus,Over-the-Counter
Amoxiphen,Antibiotic,Ointment,137 mg,CSL Limited,Wound,Prescription
Ibupromycin,Antipyretic,Ointment,449 mg,Amgen Inc.,Infection,Over-the-Counter
Clarimycin,Antiseptic,Cream,436 mg,Novo Nordisk A/S,Infection,Prescription
Amoxiprofen,Antiviral,Drops,277 mg,AbbVie Inc.,Wound,Over-the-Counter
Cefmycin,Antiviral,Injection,557 mg,Novo Nordisk A/S,Fungus,Prescription
Clarimycin,Antibiotic,Drops,54 mg,Takeda Pharmaceutical Company Limited,Virus,Over-the-Counter
Claricillin,Antiviral,Tablet,643 mg,Roche Holding AG,Diabetes,Over-the-Counter
Metovir,Antidiabetic,Drops,270 mg,Bayer AG,Virus,Over-the-Counter
Ibuprophen,Antipyretic,Cream,696 mg,AstraZeneca plc,Diabetes,Prescription
Dolocillin,Antifungal,Tablet,14 mg,"Merck & Co., Inc.",Diabetes,Over-the-Counter
Amoxiphen,Antifungal,Capsule,619 mg,Boehringer Ingelheim GmbH,Wound,Over-the-Counter
Ibuprocillin,Antifungal,Capsule,211 mg,AstraZeneca plc,Pain,Prescription
Metostatin,Antiviral,Drops,442 mg,Bristol-Myers Squibb Company,Infection,Over-the-Counter
Ibupronazole,Antifungal,Inhaler,256 mg,Pfizer Inc.,Fever,Prescription
Metophen,Antidepressant,Inhaler,633 mg,Johnson & Johnson,Pain,Prescription
Dextrostatin,Antibiotic,Injection,653 mg,CSL Limited,Wound,Prescription
Acetomycin,Antiseptic,Cream,583 mg,Amgen Inc.,Wound,Prescription
Clarivir,Antidepressant,Drops,867 mg,GlaxoSmithKline plc,Wound,Prescription
Cefphen,Antidepressant,Injection,60 mg,Novartis AG,Wound,Prescription
Amoximet,Antidiabetic,Tablet,270 mg,Bristol-Myers Squibb Company,Wound,Over-the-Counter
Clarimet,Antiviral,Cream,337 mg,Bayer AG,Diabetes,Over-the-Counter
Acetophen,Antiseptic,Syrup,153 mg,Novartis AG,Diabetes,Prescription
Amoxinazole,Antibiotic,Cream,504 mg,Biogen Inc.,Fungus,Prescription
Metocillin,Antidiabetic,Syrup,874 mg,Novartis AG,Diabetes,Prescription
Dextrostatin,Antidepressant,Injection,103 mg,Eli Lilly and Company,Fungus,Prescription
Amoxiprofen,Antiviral,Injection,821 mg,CSL Limited,Diabetes,Prescription
Cefstatin,Antipyretic,Injection,482 mg,Eli Lilly and Company,Wound,Prescription
Dextrostatin,Antidepressant,Injection,518 mg,Amgen Inc.,Fungus,Prescription
Ibupromet,Analgesic,Ointment,845 mg,Biogen Inc.,Virus,Over-the-Counter
Amoxicillin,Analgesic,Drops,949 mg,"Gilead Sciences, Inc.",Depression,Over-the-Counter
Amoxiphen,Analgesic,Syrup,628 mg,"Gilead Sciences, Inc.",Depression,Prescription
Amoxiphen,Antidepressant,Ointment,480 mg,Amgen Inc.,Virus,Prescription
Metostatin,Antidepressant,Cream,763 mg,Boehringer Ingelheim GmbH,Virus,Over-the-Counter
Acetomet,Analgesic,Drops,96 mg,Takeda Pharmaceutical Company Limited,Fever,Over-the-Counter
Metomet,Antiviral,Inhaler,86 mg,GlaxoSmithKline plc,Fever,Prescription
Amoximycin,Antiviral,Inhaler,774 mg,"Merck & Co., Inc.",Wound,Over-the-Counter
Dextromycin,Antipyretic,Injection,387 mg,Biogen Inc.,Fungus,Over-the-Counter
Ibuprocillin,Antidiabetic,Inhaler,249 mg,Sanofi S.A.,Infection,Over-the-Counter
Dolocillin,Antifungal,Syrup,921 mg,Teva Pharmaceutical Industries Ltd.,Diabetes,Over-the-Counter
Clariphen,Antiseptic,Capsule,524 mg,AbbVie Inc.,Infection,Over-the-Counter
Acetophen,Analgesic,Inhaler,800 mg,Biogen Inc.,Diabetes,Over-the-Counter
Cefnazole,Antipyretic,Ointment,12 mg,"Merck & Co., Inc.",Wound,Prescription
Amoxistatin,Antidepressant,Tablet,550 mg,Pfizer Inc.,Fever,Prescription
Claristatin,Antiseptic,Capsule,3 mg,CSL Limited,Fungus,Prescription
Acetomet,Antidiabetic,Inhaler,102 mg,Takeda Pharmaceutical Company Limited,Fungus,Over-the-Counter
Cefvir,Analgesic,Ointment,926 mg,Biogen Inc.,Diabetes,Over-the-Counter
Metophen,Antifungal,Syrup,920 mg,"Gilead Sciences, Inc.",Depression,Over-the-Counter
Acetocillin,Antiseptic,Capsule,415 mg,Bristol-Myers Squibb Company,Virus,Prescription
Doloprofen,Antiseptic,Inhaler,171 mg,Boehringer Ingelheim GmbH,Fever,Prescription
Metovir,Antibiotic,Ointment,999 mg,Novo Nordisk A/S,Diabetes,Prescription
Amoxiphen,Antiviral,Tablet,132 mg,AstraZeneca plc,Fungus,Over-the-Counter
Metoprofen,Antidepressant,Inhaler,49 mg,AbbVie Inc.,Infection,Prescription
Dextrophen,Antidiabetic,Capsule,317 mg,Roche Holding AG,Pain,Over-the-Counter
Dolomycin,Antipyretic,Cream,93 mg,Teva Pharmaceutical Industries Ltd.,Depression,Over-the-Counter
Cefphen,Antibiotic,Ointment,364 mg,Novartis AG,Diabetes,Over-the-Counter
Cefphen,Antidepressant,Capsule,445 mg,"Gilead Sciences, Inc.",Diabetes,Over-the-Counter
Clarinazole,Antifungal,Capsule,551 mg,Biogen Inc.,Depression,Over-the-Counter
Acetomycin,Antiseptic,Drops,546 mg,Pfizer Inc.,Fever,Prescription
Cefmycin,Antipyretic,Syrup,667 mg,Teva Pharmaceutical Industries Ltd.,Virus,Over-the-Counter
Metocillin,Antiviral,Syrup,439 mg,Eli Lilly and Company,Depression,Prescription
Dolovir,Antipyretic,Ointment,881 mg,Johnson & Johnson,Pain,Over-the-Counter
Amoximet,Antifungal,Capsule,501 mg,GlaxoSmithKline plc,Fungus,Prescription
Ibupronazole,Antiviral,Cream,757 mg,Sanofi S.A.,Pain,Over-the-Counter
Ibuproprofen,Antibiotic,Capsule,977 mg,Amgen Inc.,Diabetes,Over-the-Counter
Ibupromet,Antiviral,Injection,979 mg,Pfizer Inc.,Infection,Prescription
Metostatin,Antipyretic,Tablet,459 mg,Bristol-Myers Squibb Company,Fungus,Over-the-Counter
Ibupronazole,Analgesic,Syrup,147 mg,Johnson & Johnson,Virus,Over-the-Counter
Dextrostatin,Antibiotic,Syrup,982 mg,"Merck & Co., Inc.",Infection,Over-the-Counter
Claricillin,Antiseptic,Cream,212 mg,Roche Holding AG,Wound,Over-the-Counter
Amoxinazole,Antipyretic,Tablet,539 mg,Biogen Inc.,Wound,Over-the-Counter
Amoxiphen,Antibiotic,Capsule,672 mg,Biogen Inc.,Diabetes,Prescription
Cefmycin,Antidiabetic,Capsule,274 mg,"Merck & Co., Inc.",Virus,Over-the-Counter
Dextromet,Antibiotic,Injection,912 mg,Novo Nordisk A/S,Diabetes,Prescription
Claricillin,Antipyretic,Syrup,134 mg,"Gilead Sciences, Inc.",Wound,Prescription
Ibuprovir,Antiviral,Syrup,374 mg,Johnson & Johnson,Pain,Prescription
Cefmycin,Analgesic,Cream,988 mg,Novo Nordisk A/S,Depression,Prescription
Dolovir,Antidiabetic,Inhaler,682 mg,Bayer AG,Fever,Prescription
Acetomycin,Antipyretic,Cream,541 mg,Novartis AG,Pain,Over-the-Counter
Metomycin,Antipyretic,Inhaler,883 mg,Biogen Inc.,Pain,Prescription
Amoximet,Antibiotic,Drops,551 mg,Eli Lilly and Company,Wound,Prescription
Dolomet,Antiseptic,Ointment,613 mg,Takeda Pharmaceutical Company Limited,Fungus,Over-the-Counter
Amoximet,Antibiotic,Drops,8 mg,Novartis AG,Wound,Prescription
Cefphen,Antidepressant,Drops,265 mg,GlaxoSmithKline plc,Fungus,Prescription
Ibuproprofen,Antidiabetic,Cream,454 mg,Novartis AG,Pain,Over-the-Counter
Cefnazole,Antipyretic,Cream,552 mg,CSL Limited,Pain,Over-the-Counter
Amoxistatin,Antidepressant,Injection,215 mg,Pfizer Inc.,Infection,Prescription
Metostatin,Analgesic,Cream,792 mg,GlaxoSmithKline plc,Fungus,Over-the-Counter
Dextrostatin,Antidiabetic,Cream,598 mg,GlaxoSmithKline plc,Infection,Prescription
Ibupromycin,Antibiotic,Ointment,281 mg,Takeda Pharmaceutical Company Limited,Wound,Prescription
Metomet,Analgesic,Syrup,518 mg,"Gilead Sciences, Inc.",Fungus,Over-the-Counter
Metophen,Antifungal,Capsule,603 mg,CSL Limited,Infection,Prescription
Amoximycin,Antidepressant,Ointment,617 mg,"Merck & Co., Inc.",Infection,Prescription
Cefprofen,Antiseptic,Cream,485 mg,AbbVie Inc.,Pain,Over-the-Counter
Amoxiphen,Analgesic,Capsule,508 mg,"Merck & Co., Inc.",Diabetes,Prescription
Dextrophen,Analgesic,Cream,935 mg,Eli Lilly and Company,Fungus,Over-the-Counter
Cefphen,Antiviral,Syrup,672 mg,Pfizer Inc.,Diabetes,Prescription
Acetophen,Antipyretic,Ointment,365 mg,Boehringer Ingelheim GmbH,Virus,Prescription
Clariprofen,Antibiotic,Ointment,304 mg,Pfizer Inc.,Diabetes,Over-the-Counter
Ibuprovir,Antiviral,Ointment,972 mg,Pfizer Inc.,Fungus,Over-the-Counter
Dextrocillin,Antiviral,Syrup,87 mg,Bayer AG,Fever,Prescription
Dolophen,Antiviral,Cream,366 mg,Pfizer Inc.,Fever,Prescription
Ibuprophen,Antiviral,Capsule,840 mg,AbbVie Inc.,Infection,Over-the-Counter
Clarimet,Antibiotic,Capsule,356 mg,Amgen Inc.,Diabetes,Over-the-Counter
Ibuproprofen,Antiseptic,Drops,897 mg,GlaxoSmithKline plc,Depression,Over-the-Counter
Dolocillin,Antiviral,Tablet,202 mg,Eli Lilly and Company,Virus,Prescription
Ibupronazole,Antidepressant,Drops,530 mg,Johnson & Johnson,Infection,Over-the-Counter
Dextromet,Antipyretic,Tablet,773 mg,Pfizer Inc.,Infection,Prescription
Dextromycin,Analgesic,Inhaler,389 mg,CSL Limited,Wound,Over-the-Counter
Dolomycin,Antibiotic,Injection,448 mg,Boehringer Ingelheim GmbH,Pain,Prescription
Amoxiphen,Antiviral,Inhaler,604 mg,Bristol-Myers Squibb Company,Diabetes,Prescription
Acetocillin,Antidepressant,Tablet,377 mg,AbbVie Inc.,Virus,Over-the-Counter
Amoxicillin,Analgesic,Capsule,5 mg,Biogen Inc.,Wound,Over-the-Counter
Cefvir,Analgesic,Tablet,990 mg,Biogen Inc.,Virus,Prescription
Dextrocillin,Antidiabetic,Capsule,433 mg,Teva Pharmaceutical Industries Ltd.,Fungus,Over-the-Counter
Ibuproprofen,Analgesic,Tablet,324 mg,Takeda Pharmaceutical Company Limited,Depression,Over-the-Counter
Dextronazole,Antidiabetic,Inhaler,43 mg,AbbVie Inc.,Diabetes,Prescription
Clarimet,Antiviral,Capsule,561 mg,Boehringer Ingelheim GmbH,Diabetes,Over-the-Counter
Amoxinazole,Antipyretic,Syrup,647 mg,Novo Nordisk A/S,Depression,Over-the-Counter
Dextrophen,Antidiabetic,Inhaler,259 mg,Eli Lilly and Company,Fever,Prescription
Acetovir,Antipyretic,Drops,611 mg,AstraZeneca plc,Pain,Prescription
Acetomet,Antifungal,Capsule,576 mg,Teva Pharmaceutical Industries Ltd.,Diabetes,Over-the-Counter
Amoxiprofen,Antibiotic,Ointment,87 mg,Boehringer Ingelheim GmbH,Wound,Over-the-Counter
Clariprofen,Antifungal,Capsule,466 mg,Bristol-Myers Squibb Company,Fever,Over-the-Counter
Dolocillin,Antibiotic,Syrup,351 mg,"Merck & Co., Inc.",Virus,Prescription
Acetovir,Antidiabetic,Drops,507 mg,Takeda Pharmaceutical Company Limited,Wound,Prescription
Dextrovir,Antidepressant,Ointment,847 mg,Takeda Pharmaceutical Company Limited,Diabetes,Over-the-Counter
Dextrocillin,Antifungal,Injection,269 mg,Sanofi S.A.,Depression,Over-the-Counter
Clariprofen,Antiseptic,Cream,464 mg,"Gilead Sciences, Inc.",Diabetes,Over-the-Counter
Ibupronazole,Antipyretic,Capsule,832 mg,Teva Pharmaceutical Industries Ltd.,Wound,Prescription
Acetovir,Antiviral,Syrup,53 mg,CSL Limited,Wound,Prescription
Ibuproprofen,Antidepressant,Tablet,801 mg,Teva Pharmaceutical Industries Ltd.,Diabetes,Prescription
Metomycin,Antifungal,Drops,240 mg,AbbVie Inc.,Wound,Prescription
Ibuprostatin,Antiseptic,Tablet,294 mg,Novo Nordisk A/S,Fever,Prescription
Dolocillin,Antipyretic,Inhaler,229 mg,Roche Holding AG,Infection,Prescription
Dextrocillin,Antifungal,Syrup,712 mg,Novartis AG,Infection,Over-the-Counter
Dextronazole,Antifungal,Capsule,180 mg,Boehringer Ingelheim GmbH,Fever,Prescription
Metostatin,Antipyretic,Ointment,554 mg,GlaxoSmithKline plc,Pain,Over-the-Counter
Dextronazole,Antidiabetic,Cream,428 mg,Bristol-Myers Squibb Company,Wound,Prescription
Amoxistatin,Antidepressant,Inhaler,785 mg,Novo Nordisk A/S,Virus,Prescription
Clarinazole,Antipyretic,Syrup,703 mg,Sanofi S.A.,Depression,Over-the-Counter
Acetomycin,Antifungal,Syrup,23 mg,"Merck & Co., Inc.",Diabetes,Prescription
Metovir,Analgesic,Ointment,836 mg,Novartis AG,Virus,Prescription
Amoxistatin,Antidepressant,Inhaler,948 mg,"Gilead Sciences, Inc.",Diabetes,Over-the-Counter
Cefmet,Antifungal,Capsule,769 mg,Biogen Inc.,Diabetes,Over-the-Counter
Amoxistatin,Antifungal,Inhaler,382 mg,Boehringer Ingelheim GmbH,Wound,Over-the-Counter
Dolocillin,Antipyretic,Injection,722 mg,Sanofi S.A.,Diabetes,Prescription
Dolomet,Antiviral,Ointment,543 mg,GlaxoSmithKline plc,Diabetes,Over-the-Counter
Metocillin,Antibiotic,Tablet,737 mg,Bayer AG,Infection,Over-the-Counter
Dextromycin,Antipyretic,Drops,247 mg,Bristol-Myers Squibb Company,Virus,Over-the-Counter
Clarimet,Antifungal,Capsule,208 mg,AbbVie Inc.,Wound,Prescription
Cefmet,Antiviral,Inhaler,791 mg,Eli Lilly and Company,Infection,Over-the-Counter
Dextrocillin,Antidepressant,Capsule,191 mg,AstraZeneca plc,Virus,Prescription
Ibuprophen,Antiseptic,Injection,63 mg,AbbVie Inc.,Wound,Over-the-Counter
Acetoprofen,Antipyretic,Inhaler,377 mg,AbbVie Inc.,Fever,Over-the-Counter
Doloprofen,Antiviral,Drops,635 mg,Pfizer Inc.,Virus,Over-the-Counter
Cefprofen,Antipyretic,Syrup,386 mg,AstraZeneca plc,Pain,Prescription
Acetonazole,Antidiabetic,Capsule,656 mg,Bayer AG,Wound,Prescription
Cefprofen,Antifungal,Injection,436 mg,AbbVie Inc.,Fever,Prescription
Dextrostatin,Antipyretic,Drops,998 mg,Takeda Pharmaceutical Company Limited,Wound,Over-the-Counter
Amoxistatin,Analgesic,Capsule,362 mg,Novo Nordisk A/S,Fever,Prescription
Ibuprophen,Antifungal,Inhaler,440 mg,Biogen Inc.,Depression,Over-the-Counter
Metophen,Antipyretic,Syrup,968 mg,Johnson & Johnson,Fever,Over-the-Counter
Metovir,Antidepressant,Capsule,495 mg,AstraZeneca plc,Pain,Over-the-Counter
Acetocillin,Antifungal,Ointment,290 mg,"Merck & Co., Inc.",Virus,Over-the-Counter
Amoxiphen,Analgesic,Tablet,418 mg,Boehringer Ingelheim GmbH,Diabetes,Over-the-Counter
Cefmet,Antipyretic,Drops,353 mg,Teva Pharmaceutical Industries Ltd.,Fungus,Prescription
Acetonazole,Analgesic,Drops,554 mg,Bayer AG,Fungus,Prescription
Acetophen,Antidiabetic,Syrup,387 mg,Boehringer Ingelheim GmbH,Pain,Prescription
Clarivir,Antidiabetic,Capsule,195 mg,CSL Limited,Virus,Prescription
Claristatin,Analgesic,Cream,566 mg,Boehringer Ingelheim GmbH,Pain,Over-the-Counter
Dolomycin,Antidiabetic,Tablet,562 mg,Pfizer Inc.,Infection,Prescription
Cefmet,Antibiotic,Capsule,676 mg,AbbVie Inc.,Infection,Prescription
Dextrovir,Antidepressant,Syrup,739 mg,GlaxoSmithKline plc,Diabetes,Over-the-Counter
Amoxivir,Antipyretic,Syrup,699 mg,Sanofi S.A.,Diabetes,Over-the-Counter
Acetomet,Antibiotic,Ointment,643 mg,Takeda Pharmaceutical Company Limited,Pain,Prescription
Dextromet,Antiseptic,Cream,279 mg,AbbVie Inc.,Depression,Prescription
Dolophen,Antipyretic,Capsule,97 mg,Bristol-Myers Squibb Company,Wound,Over-the-Counter
Acetoprofen,Antipyretic,Ointment,552 mg,Boehringer Ingelheim GmbH,Fever,Over-the-Counter
Ibupronazole,Analgesic,Tablet,103 mg,Takeda Pharmaceutical Company Limited,Infection,Over-the-Counter
Dextrostatin,Antifungal,Syrup,586 mg,Amgen Inc.,Virus,Over-the-Counter
Acetoprofen,Antiviral,Capsule,185 mg,Teva Pharmaceutical Industries Ltd.,Virus,Prescription
Dolonazole,Antiviral,Syrup,107 mg,Bristol-Myers Squibb Company,Depression,Over-the-Counter
Metomycin,Antiseptic,Tablet,425 mg,"Gilead Sciences, Inc.",Depression,Prescription
Ibuprostatin,Antiseptic,Cream,12 mg,Johnson & Johnson,Pain,Over-the-Counter
Cefmet,Antidepressant,Cream,701 mg,Novartis AG,Fever,Prescription
Acetostatin,Antiseptic,Drops,745 mg,Roche Holding AG,Infection,Over-the-Counter
Doloprofen,Antiviral,Syrup,773 mg,Boehringer Ingelheim GmbH,Diabetes,Prescription
Cefmycin,Antipyretic,Drops,145 mg,Roche Holding AG,Infection,Over-the-Counter
Dolomycin,Antidiabetic,Cream,380 mg,Biogen Inc.,Wound,Prescription
Clarinazole,Analgesic,Inhaler,333 mg,Roche Holding AG,Diabetes,Over-the-Counter
Amoxiprofen,Antiviral,Ointment,147 mg,GlaxoSmithKline plc,Virus,Over-the-Counter
Dolonazole,Antidepressant,Drops,257 mg,AbbVie Inc.,Fever,Prescription
Metovir,Antiseptic,Syrup,86 mg,Bayer AG,Virus,Over-the-Counter
Claricillin,Antipyretic,Capsule,759 mg,AstraZeneca plc,Pain,Prescription
Dolophen,Antifungal,Ointment,487 mg,Novartis AG,Virus,Prescription
Dextrocillin,Antidepressant,Syrup,432 mg,AbbVie Inc.,Pain,Over-the-Counter
Dextronazole,Antifungal,Inhaler,679 mg,Pfizer Inc.,Virus,Prescription
Metomycin,Analgesic,Injection,741 mg,Bristol-Myers Squibb Company,Fever,Over-the-Counter
Dolovir,Antidepressant,Inhaler,103 mg,Takeda Pharmaceutical Company Limited,Wound,Over-the-Counter
Cefmycin,Antiseptic,Ointment,779 mg,Johnson & Johnson,Depression,Over-the-Counter
Acetovir,Antifungal,Tablet,860 mg,"Merck & Co., Inc.",Depression,Prescription
Amoxivir,Antidepressant,Ointment,887 mg,Bristol-Myers Squibb Company,Fungus,Over-the-Counter
Dolophen,Antipyretic,Drops,61 mg,Eli Lilly and Company,Fever,Over-the-Counter
Dextrostatin,Antidepressant,Capsule,216 mg,AstraZeneca plc,Fever,Prescription
Dextromycin,Antidepressant,Injection,565 mg,AbbVie Inc.,Virus,Prescription
Clariprofen,Antibiotic,Tablet,569 mg,Bristol-Myers Squibb Company,Fever,Over-the-Counter
Metostatin,Antipyretic,Ointment,582 mg,Novo Nordisk A/S,Diabetes,Over-the-Counter
Ibuprocillin,Antiviral,Tablet,110 mg,Bristol-Myers Squibb Company,Pain,Prescription
Cefstatin,Antiviral,Capsule,461 mg,Eli Lilly and Company,Depression,Over-the-Counter
Acetomet,Antipyretic,Syrup,530 mg,Johnson & Johnson,Wound,Over-the-Counter
Ibupromet,Antiviral,Syrup,350 mg,Johnson & Johnson,Wound,Prescription
Clarimet,Antidiabetic,Injection,229 mg,Bristol-Myers Squibb Company,Virus,Prescription
Amoxistatin,Antiseptic,Syrup,485 mg,Novartis AG,Pain,Prescription
Ibuprovir,Antipyretic,Syrup,643 mg,CSL Limited,Fungus,Prescription
Cefphen,Analgesic,Tablet,851 mg,Roche Holding AG,Virus,Over-the-Counter
Clarivir,Antidepressant,Cream,595 mg,Johnson & Johnson,Wound,Over-the-Counter
Amoximet,Antipyretic,Ointment,664 mg,Roche Holding AG,Fungus,Over-the-Counter
Amoximet,Analgesic,Capsule,279 mg,Sanofi S.A.,Infection,Prescription
Ibupromet,Antiseptic,Cream,314 mg,Novo Nordisk A/S,Infection,Over-the-Counter
Dextronazole,Analgesic,Tablet,616 mg,Eli Lilly and Company,Fungus,Prescription
Cefphen,Antibiotic,Capsule,494 mg,Biogen Inc.,Fever,Prescription
Dextromet,Antiseptic,Capsule,128 mg,Takeda Pharmaceutical Company Limited,Depression,Prescription
Metonazole,Antipyretic,Inhaler,945 mg,Bayer AG,Infection,Prescription
Cefmycin,Antidiabetic,Inhaler,344 mg,Amgen Inc.,Fever,Over-the-Counter
Cefmet,Antibiotic,Inhaler,934 mg,"Merck & Co., Inc.",Infection,Prescription
Dolocillin,Antiseptic,Drops,387 mg,AbbVie Inc.,Pain,Prescription
Dextromet,Antidepressant,Capsule,17 mg,Johnson & Johnson,Pain,Prescription
Ibuproprofen,Antipyretic,Capsule,739 mg,Boehringer Ingelheim GmbH,Fungus,Over-the-Counter
Acetonazole,Antiviral,Inhaler,703 mg,Johnson & Johnson,Virus,Prescription
Clariphen,Antidepressant,Capsule,111 mg,Novo Nordisk A/S,Depression,Over-the-Counter
Clariprofen,Antidepressant,Drops,952 mg,Amgen Inc.,Virus,Over-the-Counter
Ibupronazole,Antipyretic,Syrup,566 mg,Teva Pharmaceutical Industries Ltd.,Diabetes,Prescription
Amoxiphen,Antiviral,Syrup,68 mg,Bayer AG,Fungus,Over-the-Counter
Clariprofen,Antiseptic,Cream,390 mg,Johnson & Johnson,Wound,Prescription
Clariprofen,Antipyretic,Tablet,413 mg,Teva Pharmaceutical Industries Ltd.,Infection,Over-the-Counter
Clarinazole,Antidepressant,Tablet,100 mg,"Merck & Co., Inc.",Fungus,Prescription
Amoxicillin,Antipyretic,Capsule,740 mg,"Merck & Co., Inc.",Wound,Prescription
Clarimet,Antibiotic,Cream,259 mg,Roche Holding AG,Depression,Over-the-Counter
Cefprofen,Antidepressant,Drops,307 mg,Johnson & Johnson,Diabetes,Over-the-Counter
Amoximycin,Analgesic,Syrup,157 mg,Sanofi S.A.,Fungus,Over-the-Counter
Amoxicillin,Antipyretic,Inhaler,496 mg,"Merck & Co., Inc.",Diabetes,Over-the-Counter
Amoxiphen,Antipyretic,Drops,652 mg,Novo Nordisk A/S,Infection,Over-the-Counter
Acetostatin,Antibiotic,Drops,458 mg,"Gilead Sciences, Inc.",Wound,Prescription
Doloprofen,Analgesic,Drops,138 mg,Johnson & Johnson,Diabetes,Prescription
Claricillin,Antibiotic,Ointment,151 mg,Teva Pharmaceutical Industries Ltd.,Virus,Prescription
Dolocillin,Antiseptic,Cream,779 mg,Bristol-Myers Squibb Company,Wound,Prescription
Amoximycin,Antifungal,Injection,764 mg,"Gilead Sciences, Inc.",Diabetes,Prescription
Clarimet,Antidepressant,Syrup,270 mg,Sanofi S.A.,Fungus,Prescription
Dolomycin,Antiviral,Inhaler,173 mg,Boehringer Ingelheim GmbH,Infection,Over-the-Counter
Acetostatin,Antibiotic,Tablet,246 mg,Sanofi S.A.,Pain,Prescription
Clarimycin,Antiseptic,Capsule,804 mg,Pfizer Inc.,Pain,Prescription
Acetomycin,Antibiotic,Injection,883 mg,"Merck & Co., Inc.",Wound,Prescription
Clarinazole,Antidiabetic,Inhaler,500 mg,"Gilead Sciences, Inc.",Pain,Prescription
Metomycin,Antiviral,Injection,196 mg,Pfizer Inc.,Fever,Over-the-Counter
Doloprofen,Antiviral,Ointment,595 mg,Sanofi S.A.,Infection,Over-the-Counter
Metoprofen,Antiviral,Cream,71 mg,Boehringer Ingelheim GmbH,Wound,Over-the-Counter
